X,Y,Z,V_x,V_y,V_z
-39.887287570313156,-42.90303805623581,1.9016252215460268,-8.095669659164685,36.782613691382494,31.016063002559946
-41.63586742051427,-41.027215254978785,2.4042504262867324,-31.108541266046885,16.76777798103518,25.653103937330787
-43.75,-39.5435462032774,2.801798350525167,-49.31041266404269,-7.431297768026425,19.168981132790165
-46.137287570313156,-38.516874358125015,3.07689424232552,-61.90577473079024,-34.75699782551961,11.847081869769783
-48.69339420915433,-37.992070205672874,3.2175150911595694,-68.34414970471975,-64.0150579756751,4.007408280434405
-51.306605790845666,-37.992070205672874,3.2175150911595694,-68.34414970471975,-93.92676059418191,-4.007408280434392
-53.862712429686844,-38.51687435812501,3.0768942423255203,-61.90577473079024,-123.18482074433746,-11.847081869769779
-56.25,-39.5435462032774,2.8017983505251673,-49.310412664042744,-150.5105208018306,-19.168981132790154
-58.36413257948573,-41.02721525497878,2.4042504262867332,-31.108541266046956,-174.70959655089223,-25.653103937330776
-60.11271242968684,-42.9030380562358,1.901625221546027,-8.095669659164699,-194.72443226123954,-31.01606300255994
-61.41931822053251,-45.089032149437074,1.3158898696135433,18.722429239373433,-209.68028357049297,-35.023471282994336
-62.22684500917257,-47.489659103146224,0.6726438160387888,48.17367582018517,-218.9235080103012,-37.50018580710057
-62.5,-50.0,3.9620239392897057e-16,78.97090928492852,-222.05013231873272,-38.33796226558032
-62.22684500917257,-52.51034089685376,-0.6726438160387865,109.76814274967181,-218.9235080103012,-37.50018580710057
-61.41931822053252,-54.910967850562926,-1.3158898696135415,139.21938933048355,-209.68028357049297,-35.02347128299435
-60.112712429686844,-57.09696194376419,-1.9016252215460263,166.03748822902173,-194.7244322612396,-31.016063002559953
-58.36413257948573,-58.972784745021215,-2.404250426286732,189.05035983590395,-174.70959655089231,-25.6531039373308
-56.25000000000001,-60.4564537967226,-2.801798350525166,207.25223123389975,-150.51052080183072,-19.168981132790183
-53.862712429686844,-61.483125641874985,-3.07689424232552,219.8475933006473,-123.18482074433749,-11.847081869769786
-51.30660579084568,-62.007929794327126,-3.2175150911595694,226.28596827457682,-93.92676059418204,-4.007408280434427
-48.693394209154334,-62.007929794327126,-3.2175150911595694,226.28596827457682,-64.0150579756752,4.0074082804343805
-46.13728757031316,-61.48312564187499,-3.0768942423255203,219.8475933006473,-34.75699782551963,11.847081869769777
-43.75000000000001,-60.456453796722606,-2.8017983505251682,207.25223123389986,-7.431297768026525,19.168981132790137
-41.63586742051427,-58.97278474502122,-2.4042504262867337,189.05035983590403,16.767777981035124,25.653103937330773
-39.88728757031316,-57.0969619437642,-1.9016252215460274,166.0374882290218,36.78261369138245,31.016063002559935
-38.5806817794675,-54.91096785056293,-1.3158898696135448,139.21938933048372,51.738465000635856,35.02347128299433
-37.77315499082743,-52.510340896853776,-0.6726438160387892,109.76814274967194,60.9816894404441,37.500185807100564
-36.25,-50.0,0.0,78.97090928492854,62.31829378256661,37.85832786117223
-36.49848041263778,-47.48646336195537,0.6735001123100963,51.2884964458996,59.76501382042299,37.17417855726528
-37.234940921029,-45.06377248696552,1.3226581757738791,24.606598132696305,52.19745612433009,35.146457583921254
-38.43276392357126,-42.819489735512064,1.92401192661293,-0.11043233063418256,39.88913194650392,31.848452060292274
-40.048656976055284,-40.83472933365422,2.4558268734600106,-21.969257063552377,23.284896191757,27.39936049887186
